Gender,Age,Height_cm,Weight_kg,Body_Type,Goal,Daily_Calories,Protein_g,Carbs_g,Fats_g,Breakfast,Lunch,Dinner,Snacks
Male,47,190,66,Mesomorph,Maintenance,1819,141,227,50,Paneer Paratha,Rajma Chawal,Vegetable Stir Fry,Roasted Chana
Male,46,172,87,Mesomorph,Fat Loss,2668,175,333,74,Paneer Paratha,Rajma Chawal,Grilled Chicken & Veggies,Peanut Chaat
Female,24,165,74,Endomorph,Maintenance,2977,131,372,82,Vegetable Upma,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Male,54,153,88,Endomorph,Maintenance,2386,181,298,66,Oats with Milk,"Roti, Sabzi & Dal",Khichdi,Roasted Chana
Male,34,158,90,Ectomorph,Fat Loss,1880,160,235,52,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Boiled Eggs
Male,23,168,70,Endomorph,Maintenance,2159,120,269,59,Poha,Rajma Chawal,Vegetable Stir Fry,Protein Shake
Female,28,166,80,Mesomorph,Fat Loss,2493,166,311,69,Paneer Paratha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Roasted Chana
Female,53,173,55,Mesomorph,Lean Bulk,2341,105,292,65,Paneer Paratha,Rajma Chawal,Khichdi,Protein Shake
Female,41,156,93,Ectomorph,Maintenance,1851,183,231,51,Poha,Rajma Chawal,Vegetable Stir Fry,Roasted Chana
Male,47,169,91,Mesomorph,Lean Bulk,2086,148,260,57,Idli & Sambar,Rajma Chawal,Fish Curry with Rice,Fruit Bowl
Male,33,184,58,Mesomorph,Maintenance,2559,116,319,71,Poha,Curd Rice,Vegetable Stir Fry,Roasted Chana
Female,24,181,89,Mesomorph,Maintenance,1867,179,233,51,Oats with Milk,Curd Rice,Fish Curry with Rice,Roasted Chana
Female,24,173,84,Endomorph,Maintenance,1924,154,240,53,Oats with Milk,"Rice, Dal & Veg Curry",Fish Curry with Rice,Fruit Bowl
Male,19,153,100,Mesomorph,Lean Bulk,2057,207,257,57,Oats with Milk,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Male,32,171,99,Ectomorph,Fat Loss,1805,174,225,50,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Boiled Eggs
Male,25,151,58,Ectomorph,Maintenance,2287,113,285,63,Idli & Sambar,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,44,183,57,Endomorph,Lean Bulk,2775,106,346,77,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Female,50,164,89,Ectomorph,Fat Loss,2867,158,358,79,Idli & Sambar,"Rice, Dal & Veg Curry",Fish Curry with Rice,Peanut Chaat
Female,24,181,95,Mesomorph,Lean Bulk,1965,170,245,54,Oats with Milk,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Boiled Eggs
Female,42,188,83,Mesomorph,Maintenance,2835,162,354,78,Idli & Sambar,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Female,46,164,76,Mesomorph,Maintenance,2616,140,327,72,Idli & Sambar,Rajma Chawal,Fish Curry with Rice,Boiled Eggs
Female,41,159,93,Mesomorph,Lean Bulk,1986,195,248,55,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Male,53,153,87,Endomorph,Fat Loss,2475,174,309,68,Paneer Paratha,Rajma Chawal,Fish Curry with Rice,Fruit Bowl
Female,37,172,56,Endomorph,Fat Loss,2235,94,279,62,Paneer Paratha,Chicken Curry with Rice,Roti & Paneer Curry,Boiled Eggs
Female,25,167,86,Ectomorph,Maintenance,2948,187,368,81,Poha,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Female,19,161,67,Endomorph,Maintenance,2495,121,311,69,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Peanut Chaat
Male,27,190,51,Ectomorph,Fat Loss,2886,88,360,80,Paneer Paratha,Curd Rice,Khichdi,Roasted Chana
Female,37,170,99,Endomorph,Fat Loss,1973,210,246,54,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Fruit Bowl
Male,35,178,92,Mesomorph,Maintenance,2705,170,338,75,Oats with Milk,"Roti, Sabzi & Dal",Roti & Paneer Curry,Boiled Eggs
Female,25,168,93,Endomorph,Fat Loss,2796,178,349,77,Vegetable Upma,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Peanut Chaat
Male,18,163,69,Ectomorph,Lean Bulk,2323,122,290,64,Idli & Sambar,"Rice, Dal & Veg Curry",Fish Curry with Rice,Peanut Chaat
Male,26,174,84,Endomorph,Lean Bulk,2824,162,353,78,Vegetable Upma,"Rice, Dal & Veg Curry",Fish Curry with Rice,Fruit Bowl
Female,19,179,54,Mesomorph,Fat Loss,2679,104,334,74,Paneer Paratha,Rajma Chawal,Roti & Paneer Curry,Peanut Chaat
Male,38,160,89,Mesomorph,Fat Loss,2541,147,317,70,Idli & Sambar,Chicken Curry with Rice,Fish Curry with Rice,Protein Shake
Female,51,155,75,Mesomorph,Fat Loss,2495,129,311,69,Oats with Milk,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Fruit Bowl
Male,40,172,96,Endomorph,Lean Bulk,2283,159,285,63,Vegetable Upma,Chicken Curry with Rice,Grilled Chicken & Veggies,Protein Shake
Male,22,161,99,Endomorph,Maintenance,2750,203,343,76,Poha,Curd Rice,Vegetable Stir Fry,Protein Shake
Female,38,159,78,Ectomorph,Maintenance,2705,154,338,75,Vegetable Upma,"Roti, Sabzi & Dal",Roti & Paneer Curry,Boiled Eggs
Male,37,179,78,Ectomorph,Lean Bulk,2555,163,319,70,Idli & Sambar,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Female,47,187,85,Endomorph,Lean Bulk,2721,182,340,75,Poha,Chicken Curry with Rice,Khichdi,Protein Shake
Female,50,159,53,Mesomorph,Lean Bulk,2503,116,312,69,Idli & Sambar,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Fruit Bowl
Male,46,178,83,Endomorph,Fat Loss,2125,150,265,59,Vegetable Upma,Curd Rice,Fish Curry with Rice,Boiled Eggs
Male,39,154,71,Ectomorph,Fat Loss,2591,125,323,71,Poha,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,40,169,91,Endomorph,Fat Loss,2602,152,325,72,Idli & Sambar,Rajma Chawal,Vegetable Stir Fry,Peanut Chaat
Female,26,183,55,Endomorph,Fat Loss,2667,104,333,74,Idli & Sambar,Rajma Chawal,Khichdi,Roasted Chana
Male,39,181,62,Ectomorph,Lean Bulk,2117,102,264,58,Idli & Sambar,"Roti, Sabzi & Dal",Vegetable Stir Fry,Protein Shake
Male,39,189,58,Endomorph,Maintenance,2115,98,264,58,Poha,Chicken Curry with Rice,Fish Curry with Rice,Fruit Bowl
Female,41,165,78,Endomorph,Maintenance,2719,135,339,75,Oats with Milk,Rajma Chawal,Fish Curry with Rice,Roasted Chana
Female,54,178,79,Mesomorph,Maintenance,2829,151,353,78,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Roasted Chana
Female,21,180,73,Endomorph,Lean Bulk,2856,154,357,79,Vegetable Upma,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Boiled Eggs
Female,50,159,77,Ectomorph,Lean Bulk,2723,164,340,75,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Peanut Chaat
Female,33,174,55,Mesomorph,Lean Bulk,1857,98,232,51,Idli & Sambar,Rajma Chawal,Grilled Chicken & Veggies,Roasted Chana
Male,36,180,94,Ectomorph,Fat Loss,2760,175,345,76,Idli & Sambar,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Boiled Eggs
Male,27,185,96,Endomorph,Fat Loss,2666,160,333,74,Vegetable Upma,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,33,176,90,Endomorph,Maintenance,1928,149,241,53,Paneer Paratha,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Male,27,168,77,Ectomorph,Fat Loss,2522,134,315,70,Paneer Paratha,Chicken Curry with Rice,Roti & Paneer Curry,Protein Shake
Female,22,183,84,Endomorph,Fat Loss,2934,135,366,81,Paneer Paratha,"Rice, Dal & Veg Curry",Fish Curry with Rice,Boiled Eggs
Female,19,172,100,Ectomorph,Maintenance,2293,203,286,63,Idli & Sambar,"Roti, Sabzi & Dal",Khichdi,Roasted Chana
Male,40,184,71,Endomorph,Lean Bulk,2751,155,343,76,Paneer Paratha,Chicken Curry with Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,20,168,62,Ectomorph,Lean Bulk,1885,110,235,52,Vegetable Upma,"Roti, Sabzi & Dal",Fish Curry with Rice,Protein Shake
Female,34,152,98,Endomorph,Lean Bulk,2385,177,298,66,Idli & Sambar,Rajma Chawal,Khichdi,Fruit Bowl
Female,45,175,97,Mesomorph,Maintenance,2494,211,311,69,Paneer Paratha,Curd Rice,Khichdi,Protein Shake
Female,23,177,55,Mesomorph,Fat Loss,2169,106,271,60,Vegetable Upma,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Boiled Eggs
Female,37,178,88,Endomorph,Maintenance,2141,177,267,59,Vegetable Upma,Curd Rice,Roti & Paneer Curry,Boiled Eggs
Female,35,190,100,Ectomorph,Lean Bulk,2631,181,328,73,Oats with Milk,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Protein Shake
Female,20,158,54,Ectomorph,Fat Loss,2550,98,318,70,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Female,41,173,78,Ectomorph,Fat Loss,2081,149,260,57,Paneer Paratha,Rajma Chawal,Khichdi,Roasted Chana
Male,19,161,81,Endomorph,Maintenance,2950,135,368,81,Vegetable Upma,Curd Rice,Grilled Chicken & Veggies,Protein Shake
Female,49,162,57,Ectomorph,Lean Bulk,2725,97,340,75,Paneer Paratha,"Rice, Dal & Veg Curry",Khichdi,Boiled Eggs
Male,53,184,68,Mesomorph,Lean Bulk,2156,141,269,59,Poha,Chicken Curry with Rice,Roti & Paneer Curry,Roasted Chana
Male,33,181,51,Mesomorph,Fat Loss,2972,92,371,82,Poha,Chicken Curry with Rice,Vegetable Stir Fry,Fruit Bowl
Male,37,175,95,Endomorph,Maintenance,2876,175,359,79,Paneer Paratha,"Roti, Sabzi & Dal",Roti & Paneer Curry,Roasted Chana
Female,22,178,79,Endomorph,Fat Loss,2505,132,313,69,Poha,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Roasted Chana
Female,50,153,57,Endomorph,Lean Bulk,2422,96,302,67,Vegetable Upma,Chicken Curry with Rice,Khichdi,Protein Shake
Female,23,166,62,Endomorph,Fat Loss,2362,103,295,65,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Male,55,187,59,Ectomorph,Fat Loss,2491,124,311,69,Poha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Fruit Bowl
Male,54,166,91,Ectomorph,Fat Loss,2653,179,331,73,Idli & Sambar,Curd Rice,Vegetable Stir Fry,Boiled Eggs
Female,48,165,93,Mesomorph,Maintenance,2728,152,341,75,Idli & Sambar,Chicken Curry with Rice,Fish Curry with Rice,Peanut Chaat
Female,47,163,71,Endomorph,Lean Bulk,2440,150,305,67,Vegetable Upma,Rajma Chawal,Fish Curry with Rice,Roasted Chana
Female,50,185,56,Mesomorph,Lean Bulk,2755,93,344,76,Paneer Paratha,Chicken Curry with Rice,Grilled Chicken & Veggies,Fruit Bowl
Male,36,174,89,Mesomorph,Lean Bulk,2127,185,265,59,Poha,Rajma Chawal,Grilled Chicken & Veggies,Roasted Chana
Female,50,179,81,Mesomorph,Maintenance,1847,133,230,51,Paneer Paratha,"Roti, Sabzi & Dal",Fish Curry with Rice,Roasted Chana
Male,55,172,53,Ectomorph,Maintenance,2813,103,351,78,Paneer Paratha,Rajma Chawal,Vegetable Stir Fry,Fruit Bowl
Male,45,158,66,Endomorph,Maintenance,2625,120,328,72,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Male,41,185,68,Ectomorph,Maintenance,2832,127,354,78,Poha,Rajma Chawal,Vegetable Stir Fry,Protein Shake
Male,26,156,75,Mesomorph,Maintenance,2942,162,367,81,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Protein Shake
Female,50,152,52,Ectomorph,Lean Bulk,2482,108,310,68,Poha,Curd Rice,Grilled Chicken & Veggies,Protein Shake
Male,38,189,70,Ectomorph,Maintenance,2412,136,301,67,Poha,"Roti, Sabzi & Dal",Vegetable Stir Fry,Peanut Chaat
Female,48,151,73,Mesomorph,Fat Loss,2024,159,253,56,Poha,Rajma Chawal,Roti & Paneer Curry,Protein Shake
Female,34,187,86,Ectomorph,Fat Loss,1905,167,238,52,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Peanut Chaat
Male,33,152,86,Endomorph,Lean Bulk,2190,138,273,60,Vegetable Upma,Curd Rice,Grilled Chicken & Veggies,Peanut Chaat
Male,44,182,99,Endomorph,Maintenance,1927,200,240,53,Poha,Chicken Curry with Rice,Vegetable Stir Fry,Boiled Eggs
Female,51,174,70,Ectomorph,Maintenance,2891,126,361,80,Vegetable Upma,Rajma Chawal,Vegetable Stir Fry,Peanut Chaat
Male,33,167,85,Mesomorph,Lean Bulk,2409,175,301,66,Oats with Milk,Curd Rice,Khichdi,Peanut Chaat
Female,53,167,68,Ectomorph,Fat Loss,2912,124,364,80,Paneer Paratha,Rajma Chawal,Grilled Chicken & Veggies,Boiled Eggs
Male,36,155,72,Mesomorph,Fat Loss,2325,147,290,64,Oats with Milk,Chicken Curry with Rice,Vegetable Stir Fry,Boiled Eggs
Female,26,156,89,Endomorph,Fat Loss,2290,155,286,63,Poha,Chicken Curry with Rice,Grilled Chicken & Veggies,Fruit Bowl
Male,44,171,95,Mesomorph,Lean Bulk,2081,152,260,57,Poha,Chicken Curry with Rice,Fish Curry with Rice,Peanut Chaat
Female,30,168,70,Mesomorph,Fat Loss,1921,150,240,53,Idli & Sambar,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Protein Shake
Male,29,176,61,Ectomorph,Maintenance,2814,104,351,78,Vegetable Upma,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Boiled Eggs
Male,39,168,79,Endomorph,Fat Loss,2873,149,359,79,Oats with Milk,"Roti, Sabzi & Dal",Fish Curry with Rice,Boiled Eggs
Male,25,171,60,Endomorph,Maintenance,2326,121,290,64,Idli & Sambar,Rajma Chawal,Khichdi,Protein Shake
Male,29,189,90,Mesomorph,Maintenance,2855,161,356,79,Paneer Paratha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Roasted Chana
Female,38,165,50,Mesomorph,Maintenance,2282,93,285,63,Vegetable Upma,Rajma Chawal,Khichdi,Protein Shake
