split_type,weekly_days,level,goal,days
Full Body,1,Beginner,Fat Loss,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Pull-Up', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Deadlift', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Row', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Bench Press', 'sets': 2, 'reps': '8-12', 'type': 'Compound'}, {'name': 'OHP', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Squat', 'sets': 3, 'reps': '15-20', 'type': 'Compound'}]}]"
Arnold Split,2,Advanced,Strength,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'RDL', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Leg Press', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 2, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 3, 'reps': '8-12', 'type': 'Compound'}]}, {'day': 'Chest/Back', 'focus': 'Chest/Back', 'exercises': [{'name': 'Pullover', 'sets': 3, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Barbell Row', 'sets': 4, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Bench Press', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Cable Fly', 'sets': 2, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 4, 'reps': '15-20', 'type': 'Compound'}]}]"
Push Pull Legs,2,Advanced,Fat Loss,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Press', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Leg Curl', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'RDL', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 5, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Lunges', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}]}, {'day': 'Push', 'focus': 'Push', 'exercises': [{'name': 'OHP', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Bench Press', 'sets': 2, 'reps': '5-8', 'type': 'Compound'}, {'name': 'Incline DB Press', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Lateral Raise', 'sets': 5, 'reps': '8-12', 'type': 'Isolation'}]}]"
Full Body,1,Advanced,Fat Loss,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Curl', 'sets': 5, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Bench Press', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Deadlift', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Pull-Up', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}]}]"
Push Pull Legs,2,Advanced,Hypertrophy,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Calf Raise', 'sets': 5, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Lunges', 'sets': 3, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Leg Press', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 3, 'reps': '8-12', 'type': 'Compound'}, {'name': 'RDL', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Leg Curl', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}]}, {'day': 'Push', 'focus': 'Push', 'exercises': [{'name': 'OHP', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Chest Fly', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Triceps Pushdown', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}]}]"
Full Body,1,Beginner,Lean Mass,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Pull-Up', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Squat', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}, {'name': 'OHP', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}]}]"
Arnold Split,2,Intermediate,Lean Mass,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Curl', 'sets': 5, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 2, 'reps': '8-12', 'type': 'Compound'}]}, {'day': 'Chest/Back', 'focus': 'Chest/Back', 'exercises': [{'name': 'Cable Fly', 'sets': 3, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Pullover', 'sets': 5, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 5, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Barbell Row', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}]}]"
Full Body,1,Intermediate,Lean Mass,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Deadlift', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Curl', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 5, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Bench Press', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Squat', 'sets': 4, 'reps': '12-15', 'type': 'Compound'}]}]"
Full Body,1,Advanced,Fat Loss,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Row', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 3, 'reps': '5-8', 'type': 'Compound'}, {'name': 'Squat', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Deadlift', 'sets': 2, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Bench Press', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Curl', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}]}]"
Full Body,1,Intermediate,Lean Mass,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Deadlift', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Curl', 'sets': 3, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 3, 'reps': '5-8', 'type': 'Compound'}, {'name': 'Squat', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Row', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}]}]"
Bro Split,5,Intermediate,Lean Mass,"[{'day': 'Chest', 'focus': 'Chest', 'exercises': [{'name': 'Chest Dips', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Incline DB Press', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Cable Fly', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}]}, {'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Press', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Leg Curl', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}]}, {'day': 'Shoulders', 'focus': 'Shoulders', 'exercises': [{'name': 'Lateral Raise', 'sets': 5, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'OHP', 'sets': 5, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Arnold Press', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}]}, {'day': 'Arms', 'focus': 'Arms', 'exercises': [{'name': 'Barbell Curl', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Hammer Curl', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Triceps Pushdown', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}]}, {'day': 'Back', 'focus': 'Back', 'exercises': [{'name': 'Lat Pulldown', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Barbell Row', 'sets': 5, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Seated Cable Row', 'sets': 5, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Deadlift', 'sets': 5, 'reps': '8-12', 'type': 'Compound'}]}]"
Full Body,1,Intermediate,Lean Mass,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Bench Press', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Pull-Up', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}, {'name': 'OHP', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Row', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Deadlift', 'sets': 4, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Squat', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Curl', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}]}]"
Arnold Split,1,Beginner,Hypertrophy,"[{'day': 'Shoulders/Arms', 'focus': 'Shoulders/Arms', 'exercises': [{'name': 'OHP', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Skull Crusher', 'sets': 3, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Rear Delt Fly', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Lateral Raise', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Barbell Curl', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}]}]"
Arnold Split,2,Intermediate,Strength,"[{'day': 'Chest/Back', 'focus': 'Chest/Back', 'exercises': [{'name': 'Pullover', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Pull-Up', 'sets': 4, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Bench Press', 'sets': 2, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Cable Fly', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}]}, {'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Squat', 'sets': 4, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Leg Curl', 'sets': 2, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Leg Press', 'sets': 5, 'reps': '8-12', 'type': 'Isolation'}]}]"
Full Body,1,Advanced,Fat Loss,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'OHP', 'sets': 5, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Curl', 'sets': 5, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Deadlift', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}]}]"
Push Pull Legs,1,Intermediate,Hypertrophy,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Squat', 'sets': 4, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Calf Raise', 'sets': 3, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'RDL', 'sets': 2, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Lunges', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Leg Curl', 'sets': 5, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Leg Press', 'sets': 2, 'reps': '5-8', 'type': 'Isolation'}]}]"
Arnold Split,1,Beginner,Strength,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'RDL', 'sets': 5, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Leg Press', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 5, 'reps': '8-12', 'type': 'Compound'}, {'name': 'Leg Curl', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 3, 'reps': '8-12', 'type': 'Isolation'}]}]"
Arnold Split,3,Beginner,Fat Loss,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Press', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'RDL', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 5, 'reps': '5-8', 'type': 'Compound'}]}, {'day': 'Chest/Back', 'focus': 'Chest/Back', 'exercises': [{'name': 'Pullover', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Cable Fly', 'sets': 3, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Bench Press', 'sets': 5, 'reps': '5-8', 'type': 'Compound'}, {'name': 'Barbell Row', 'sets': 2, 'reps': '8-12', 'type': 'Compound'}]}, {'day': 'Shoulders/Arms', 'focus': 'Shoulders/Arms', 'exercises': [{'name': 'Rear Delt Fly', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Lateral Raise', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Skull Crusher', 'sets': 2, 'reps': '8-12', 'type': 'Isolation'}]}]"
Push Pull Legs,1,Beginner,Fat Loss,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Curl', 'sets': 3, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Leg Press', 'sets': 3, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'Lunges', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 2, 'reps': '15-20', 'type': 'Isolation'}]}]"
Push Pull Legs,2,Beginner,Lean Mass,"[{'day': 'Pull', 'focus': 'Pull', 'exercises': [{'name': 'Barbell Row', 'sets': 4, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Hammer Curl', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Face Pull', 'sets': 4, 'reps': '8-12', 'type': 'Isolation'}, {'name': 'EZ Curl', 'sets': 2, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Deadlift', 'sets': 4, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Pull-Up', 'sets': 3, 'reps': '15-20', 'type': 'Compound'}]}, {'day': 'Push', 'focus': 'Push', 'exercises': [{'name': 'OHP', 'sets': 2, 'reps': '12-15', 'type': 'Compound'}, {'name': 'Incline DB Press', 'sets': 4, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Triceps Pushdown', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}]}]"
Full Body,1,Beginner,Strength,"[{'day': 'Full Body', 'focus': 'Full Body', 'exercises': [{'name': 'Squat', 'sets': 5, 'reps': '15-20', 'type': 'Compound'}, {'name': 'Row', 'sets': 4, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Bench Press', 'sets': 2, 'reps': '15-20', 'type': 'Compound'}]}]"
Push Pull Legs,2,Beginner,Strength,"[{'day': 'Legs', 'focus': 'Legs', 'exercises': [{'name': 'Leg Press', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Lunges', 'sets': 3, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Leg Curl', 'sets': 4, 'reps': '12-15', 'type': 'Isolation'}, {'name': 'Calf Raise', 'sets': 3, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'Squat', 'sets': 3, 'reps': '5-8', 'type': 'Compound'}]}, {'day': 'Push', 'focus': 'Push', 'exercises': [{'name': 'Chest Fly', 'sets': 3, 'reps': '5-8', 'type': 'Isolation'}, {'name': 'Bench Press', 'sets': 3, 'reps': '5-8', 'type': 'Compound'}, {'name': 'Incline DB Press', 'sets': 5, 'reps': '15-20', 'type': 'Isolation'}, {'name': 'OHP', 'sets': 3, 'reps': '12-15', 'type': 'Compound'}]}]"
